time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448450000	7.25451	2.29403	3.32271	0.751307	0.598059	radar	2.76677e-321	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	7.2288	2.36422	3.33906	0.805342	0.641897	radar	2.76677e-321	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	7.25023	2.32922	3.3324	0.776676	0.61931	radar	2.76677e-321	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	7.21916	2.40246	3.20421	0.854211	0.696732	radar	2.76677e-321	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	7.24133	2.39445	3.2902	0.832362	0.671723	radar	2.76677e-321	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	7.21969	2.47064	3.3221	0.887965	0.715924	radar	2.76677e-321	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	7.22281	2.47709	3.26916	0.899632	0.731469	radar	2.76677e-321	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	7.19685	2.56771	3.20458	0.980201	0.80623	radar	2.76677e-321	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	7.22938	2.53933	3.34159	0.93432	0.756243	radar	2.76677e-321	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	7.18655	2.5784	3.29036	0.977861	0.795244	radar	2.76677e-321	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	7.14487	2.57148	3.17453	0.996282	0.81803	radar	2.76677e-321	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	7.23051	2.59279	3.25948	0.985165	0.808986	radar	2.76677e-321	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
